;MELHOR GLOBAL;MELHOR LOCAL
0;;47938.720491937354
1;47938.720491937354;51803.09655713039
2;47938.720491937354;43762.17276312101
3;43762.17276312101;49415.62777380803
4;43762.17276312101;45833.403900790356
5;43762.17276312101;47135.12025158107
6;43762.17276312101;46746.25743583076
7;43762.17276312101;43451.266386599826
8;43451.266386599826;48100.888192327926
9;43451.266386599826;45050.02229235965
10;43451.266386599826;45135.20830314591
11;43451.266386599826;54463.8815590913
12;43451.266386599826;48709.2091739595
13;43451.266386599826;48774.629807033845
14;43451.266386599826;50649.49546726771
15;43451.266386599826;45674.35121397231
16;43451.266386599826;45850.19629614618
17;43451.266386599826;54783.918608751155
18;43451.266386599826;46860.523117551296
19;43451.266386599826;39098.2692550512
20;39098.2692550512;44978.46419106354
21;39098.2692550512;51477.601307874786
22;39098.2692550512;48365.63792632549
23;39098.2692550512;51501.24046650559
24;39098.2692550512;50163.55276912023
25;39098.2692550512;43883.31700735205
26;39098.2692550512;52195.7681723501
27;39098.2692550512;58968.94864915195
28;39098.2692550512;43966.77337426826
29;39098.2692550512;47536.558746808754
30;39098.2692550512;50646.308471224984
31;39098.2692550512;47736.28255775489
32;39098.2692550512;50071.75086129134
33;39098.2692550512;52885.16096202944
34;39098.2692550512;59086.59345273186
35;39098.2692550512;47040.73447322585
36;39098.2692550512;41060.77900555877
37;39098.2692550512;48437.73055771558
38;39098.2692550512;50893.76868855644
39;39098.2692550512;44272.995036302935
40;39098.2692550512;54599.518647826575
41;39098.2692550512;53290.10330941486
42;39098.2692550512;47177.17299732825
43;39098.2692550512;47396.15803241403
44;39098.2692550512;43600.702018902666
45;39098.2692550512;51383.662970778176
46;39098.2692550512;50626.26700953622
47;39098.2692550512;47010.00447562207
48;39098.2692550512;51974.92552758171
49;39098.2692550512;45609.52862043164
50;39098.2692550512;53104.00684919031
51;39098.2692550512;43079.10804659751
52;39098.2692550512;44119.65716799924
53;39098.2692550512;47246.15962197367
54;39098.2692550512;53422.161306747665
55;39098.2692550512;54809.50558117343
56;39098.2692550512;56349.46417357073
57;39098.2692550512;61886.49768518903
58;39098.2692550512;48072.548232339635
59;39098.2692550512;51696.4431371262
60;39098.2692550512;47989.545667900355
61;39098.2692550512;51214.92600064811
62;39098.2692550512;48496.37503397526
63;39098.2692550512;43061.4933235256
64;39098.2692550512;53199.77650522508
65;39098.2692550512;49145.59263539965
66;39098.2692550512;47385.669971850526
67;39098.2692550512;54017.21053351677
68;39098.2692550512;40709.04060680843
69;39098.2692550512;43228.84612676535
70;39098.2692550512;44419.320763974465
71;39098.2692550512;50928.246505804214
72;39098.2692550512;53149.45874369111
73;39098.2692550512;49137.39932868701
74;39098.2692550512;54250.587947091684
75;39098.2692550512;59274.01005170955
76;39098.2692550512;51181.07467745573
77;39098.2692550512;45406.39844974871
78;39098.2692550512;50556.26702382174
79;39098.2692550512;49841.63703250909
80;39098.2692550512;47429.002451487155
81;39098.2692550512;46144.509358912896
82;39098.2692550512;43014.4474115922
83;39098.2692550512;50128.89204963136
84;39098.2692550512;50298.400252588224
85;39098.2692550512;54115.5606525485
86;39098.2692550512;48157.91173869317
87;39098.2692550512;44841.69901150731
88;39098.2692550512;41469.742813676334
89;39098.2692550512;50371.444283256395
90;39098.2692550512;45826.43819603461
91;39098.2692550512;47636.28046046875
92;39098.2692550512;51391.27181016584
93;39098.2692550512;42167.655083232865
94;39098.2692550512;49120.15339406973
95;39098.2692550512;55010.070329778086
96;39098.2692550512;44822.24706967246
97;39098.2692550512;42770.50235430739
98;39098.2692550512;47346.85043082878
99;39098.2692550512;51966.69681964244
