;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
0;;53858.89224652031;
1;53858.89224652031;49596.8649508418;29-2-41-16-22-1-9-8-38-31-15-48-10-45-35-24-32-39-25-13-14-23-11-12-18-36-6-37-19-28-7-44-46-33-20-47-42-4-26-21-43-17-27-30-40-3-34-5-
2;49596.8649508418;46016.19445300055;23-14-5-48-25-13-47-20-30-27-17-43-21-26-4-2-29-41-8-1-9-38-31-44-7-28-37-19-6-36-18-46-33-12-15-11-42-10-35-45-24-32-39-34-3-16-22-40-
3;46016.19445300055;48341.42331528505;34-5-48-14-23-11-12-33-43-17-27-30-15-40-3-45-35-4-26-2-29-42-10-24-32-21-39-25-13-47-20-36-28-6-37-19-7-18-44-31-46-38-9-8-1-16-22-41-
4;46016.19445300055;41208.901024686114;34-5-48-14-23-11-12-33-43-17-27-30-15-40-3-45-35-4-26-2-29-42-10-24-32-21-39-25-13-47-20-36-28-6-37-19-7-18-44-31-46-38-9-8-1-16-22-41-
5;41208.901024686114;49424.28934437079;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
6;41208.901024686114;46583.71002973934;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
7;41208.901024686114;50890.786312972734;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
8;41208.901024686114;54331.80607116704;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
9;41208.901024686114;42526.825280105666;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
10;41208.901024686114;50345.68953962795;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
11;41208.901024686114;45961.37785181021;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
12;41208.901024686114;43174.874898196955;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
