;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
0;;174551.9299243664;
1;174551.9299243664;165947.86725121792;59-61-58-62-73-72-56-54-42-43-27-46-45-44-47-48-33-34-39-35-32-29-30-31-19-6-7-3-4-24-69-68-67-70-71-64-63-57-66-65-55-16-15-12-10-9-5-20-26-28-53-49-50-51-52-36-18-17-21-25-22-23-1-76-75-2-8-14-74-13-11-37-38-40-41-60-
2;165947.86725121792;170296.33251795202;37-36-38-35-32-33-52-51-56-34-39-40-41-62-72-73-71-64-63-61-60-59-58-57-55-42-43-44-46-45-25-24-22-23-21-20-10-14-74-13-11-19-31-28-50-66-65-70-67-68-69-48-47-49-53-54-27-26-29-30-1-75-76-2-7-8-17-18-16-15-12-9-6-4-3-5-
3;165947.86725121792;155470.8915549933;37-36-38-35-32-33-52-51-56-34-39-40-41-62-72-73-71-64-63-61-60-59-58-57-55-42-43-44-46-45-25-24-22-23-21-20-10-14-74-13-11-19-31-28-50-66-65-70-67-68-69-48-47-49-53-54-27-26-29-30-1-75-76-2-7-8-17-18-16-15-12-9-6-4-3-5-
4;155470.8915549933;180142.20752360584;31-30-29-28-42-43-33-40-41-60-59-55-51-66-56-58-62-61-72-73-71-64-63-57-65-67-70-68-69-48-47-44-45-46-19-17-18-38-39-34-32-20-4-6-3-2-1-21-25-24-22-23-75-76-8-7-9-10-37-36-35-52-50-49-53-54-27-26-5-12-13-14-74-15-16-11-
5;155470.8915549933;193973.08437966075;31-30-29-28-42-43-33-40-41-60-59-55-51-66-56-58-62-61-72-73-71-64-63-57-65-67-70-68-69-48-47-44-45-46-19-17-18-38-39-34-32-20-4-6-3-2-1-21-25-24-22-23-75-76-8-7-9-10-37-36-35-52-50-49-53-54-27-26-5-12-13-14-74-15-16-11-
6;155470.8915549933;193619.47165122704;31-30-29-28-42-43-33-40-41-60-59-55-51-66-56-58-62-61-72-73-71-64-63-57-65-67-70-68-69-48-47-44-45-46-19-17-18-38-39-34-32-20-4-6-3-2-1-21-25-24-22-23-75-76-8-7-9-10-37-36-35-52-50-49-53-54-27-26-5-12-13-14-74-15-16-11-
7;155470.8915549933;168433.32934396554;31-30-29-28-42-43-33-40-41-60-59-55-51-66-56-58-62-61-72-73-71-64-63-57-65-67-70-68-69-48-47-44-45-46-19-17-18-38-39-34-32-20-4-6-3-2-1-21-25-24-22-23-75-76-8-7-9-10-37-36-35-52-50-49-53-54-27-26-5-12-13-14-74-15-16-11-
8;155470.8915549933;161844.23995349684;31-30-29-28-42-43-33-40-41-60-59-55-51-66-56-58-62-61-72-73-71-64-63-57-65-67-70-68-69-48-47-44-45-46-19-17-18-38-39-34-32-20-4-6-3-2-1-21-25-24-22-23-75-76-8-7-9-10-37-36-35-52-50-49-53-54-27-26-5-12-13-14-74-15-16-11-
9;155470.8915549933;198752.19284518054;31-30-29-28-42-43-33-40-41-60-59-55-51-66-56-58-62-61-72-73-71-64-63-57-65-67-70-68-69-48-47-44-45-46-19-17-18-38-39-34-32-20-4-6-3-2-1-21-25-24-22-23-75-76-8-7-9-10-37-36-35-52-50-49-53-54-27-26-5-12-13-14-74-15-16-11-
