;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
0;;1969.5324027711395;
1;1969.5324027711395;1861.699903030483;47-24-25-15-26-35-51-59-68-78-79-88-89-97-96-87-85-76-77-69-70-71-72-63-62-61-60-49-48-30-29-46-55-56-57-65-75-84-93-94-95-86-58-32-31-22-21-20-19-28-37-38-39-42-43-44-34-33-41-40-50-52-53-45-23-13-14-11-12-10-1-2-3-4-5-6-7-9-8-16-17-18-27-36-54-81-90-98-99-80-67-66-74-73-83-92-91-82-64-
2;1861.699903030483;2500.5750548046403;16-9-8-7-6-5-4-1-10-2-3-12-11-21-51-61-62-63-54-53-52-60-59-66-65-57-49-44-36-27-18-17-45-67-68-75-76-77-78-69-70-71-80-79-88-87-97-96-95-86-74-64-56-47-38-39-48-40-41-33-32-31-22-23-24-25-26-35-34-43-42-50-58-85-84-93-94-89-72-81-90-99-98-92-91-82-83-73-55-46-37-28-29-30-19-20-13-14-15-
3;1861.699903030483;1920.6096037903303;16-9-8-7-6-5-4-1-10-2-3-12-11-21-51-61-62-63-54-53-52-60-59-66-65-57-49-44-36-27-18-17-45-67-68-75-76-77-78-69-70-71-80-79-88-87-97-96-95-86-74-64-56-47-38-39-48-40-41-33-32-31-22-23-24-25-26-35-34-43-42-50-58-85-84-93-94-89-72-81-90-99-98-92-91-82-83-73-55-46-37-28-29-30-19-20-13-14-15-
4;1861.699903030483;2079.043295102219;16-9-8-7-6-5-4-1-10-2-3-12-11-21-51-61-62-63-54-53-52-60-59-66-65-57-49-44-36-27-18-17-45-67-68-75-76-77-78-69-70-71-80-79-88-87-97-96-95-86-74-64-56-47-38-39-48-40-41-33-32-31-22-23-24-25-26-35-34-43-42-50-58-85-84-93-94-89-72-81-90-99-98-92-91-82-83-73-55-46-37-28-29-30-19-20-13-14-15-
5;1861.699903030483;2199.4505617051122;16-9-8-7-6-5-4-1-10-2-3-12-11-21-51-61-62-63-54-53-52-60-59-66-65-57-49-44-36-27-18-17-45-67-68-75-76-77-78-69-70-71-80-79-88-87-97-96-95-86-74-64-56-47-38-39-48-40-41-33-32-31-22-23-24-25-26-35-34-43-42-50-58-85-84-93-94-89-72-81-90-99-98-92-91-82-83-73-55-46-37-28-29-30-19-20-13-14-15-
6;1861.699903030483;2084.5076517155203;16-9-8-7-6-5-4-1-10-2-3-12-11-21-51-61-62-63-54-53-52-60-59-66-65-57-49-44-36-27-18-17-45-67-68-75-76-77-78-69-70-71-80-79-88-87-97-96-95-86-74-64-56-47-38-39-48-40-41-33-32-31-22-23-24-25-26-35-34-43-42-50-58-85-84-93-94-89-72-81-90-99-98-92-91-82-83-73-55-46-37-28-29-30-19-20-13-14-15-
7;1861.699903030483;1860.2887478211085;16-9-8-7-6-5-4-1-10-2-3-12-11-21-51-61-62-63-54-53-52-60-59-66-65-57-49-44-36-27-18-17-45-67-68-75-76-77-78-69-70-71-80-79-88-87-97-96-95-86-74-64-56-47-38-39-48-40-41-33-32-31-22-23-24-25-26-35-34-43-42-50-58-85-84-93-94-89-72-81-90-99-98-92-91-82-83-73-55-46-37-28-29-30-19-20-13-14-15-
8;1860.2887478211085;2358.9559881868895;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
9;1860.2887478211085;2321.192238780248;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
