;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
0;;1150.4402282796118;
1;1150.4402282796118;1177.8792131377863;8-28-3-42-6-52-10-60-54-62-33-12-34-21-17-41-43-44-68-9-27-46-25-39-11-65-64-58-37-29-13-70-31-66-14-20-30-48-67-56-51-50-5-47-16-1-36-23-38-63-15-57-24-19-7-2-4-18-40-45-61-53-22-59-69-35-32-26-49-55-
2;1150.4402282796118;1205.5185265221915;8-28-3-42-6-52-10-60-54-62-33-12-34-21-17-41-43-44-68-9-27-46-25-39-11-65-64-58-37-29-13-70-31-66-14-20-30-48-67-56-51-50-5-47-16-1-36-23-38-63-15-57-24-19-7-2-4-18-40-45-61-53-22-59-69-35-32-26-49-55-
3;1150.4402282796118;1170.382946073737;8-28-3-42-6-52-10-60-54-62-33-12-34-21-17-41-43-44-68-9-27-46-25-39-11-65-64-58-37-29-13-70-31-66-14-20-30-48-67-56-51-50-5-47-16-1-36-23-38-63-15-57-24-19-7-2-4-18-40-45-61-53-22-59-69-35-32-26-49-55-
4;1150.4402282796118;1052.3565376285978;8-28-3-42-6-52-10-60-54-62-33-12-34-21-17-41-43-44-68-9-27-46-25-39-11-65-64-58-37-29-13-70-31-66-14-20-30-48-67-56-51-50-5-47-16-1-36-23-38-63-15-57-24-19-7-2-4-18-40-45-61-53-22-59-69-35-32-26-49-55-
5;1052.3565376285978;1147.7675093605671;24-19-55-49-44-68-62-54-48-67-11-64-65-56-51-58-37-50-52-60-33-12-10-5-23-13-70-29-36-1-47-16-38-22-66-53-34-61-40-27-9-21-17-43-41-3-32-2-7-4-18-42-6-39-45-25-46-8-26-28-20-30-14-15-35-69-31-59-63-57-
6;1052.3565376285978;1164.9577482697873;24-19-55-49-44-68-62-54-48-67-11-64-65-56-51-58-37-50-52-60-33-12-10-5-23-13-70-29-36-1-47-16-38-22-66-53-34-61-40-27-9-21-17-43-41-3-32-2-7-4-18-42-6-39-45-25-46-8-26-28-20-30-14-15-35-69-31-59-63-57-
7;1052.3565376285978;1019.4158718588633;24-19-55-49-44-68-62-54-48-67-11-64-65-56-51-58-37-50-52-60-33-12-10-5-23-13-70-29-36-1-47-16-38-22-66-53-34-61-40-27-9-21-17-43-41-3-32-2-7-4-18-42-6-39-45-25-46-8-26-28-20-30-14-15-35-69-31-59-63-57-
8;1019.4158718588633;1295.84666987298;62-48-11-64-65-40-46-27-9-17-43-41-42-18-4-6-53-10-5-52-60-12-21-34-33-54-67-50-58-37-47-23-16-51-56-39-25-45-61-38-31-69-35-70-29-36-1-13-59-22-63-66-57-15-24-19-7-2-14-30-20-28-55-49-26-8-32-3-44-68-
9;1019.4158718588633;1091.776107985409;62-48-11-64-65-40-46-27-9-17-43-41-42-18-4-6-53-10-5-52-60-12-21-34-33-54-67-50-58-37-47-23-16-51-56-39-25-45-61-38-31-69-35-70-29-36-1-13-59-22-63-66-57-15-24-19-7-2-14-30-20-28-55-49-26-8-32-3-44-68-
