;MELHOR GLOBAL;MELHOR LOCAL
0;153847.07556774738;153847.07556774738
1;164456.9574832456;164456.9574832456
2;164249.0668348928;164249.0668348928
3;163779.09283843814;163779.09283843814
4;169223.88348816626;169223.88348816626
5;169660.6799612108;169660.6799612108
6;164185.34464011752;164185.34464011752
7;164398.30799003423;164398.30799003423
8;164899.75508107076;164899.75508107076
9;166880.50004507473;166880.50004507473
10;162128.33251476803;162128.33251476803
11;162324.91508785728;162324.91508785728
12;158270.91478478213;158270.91478478213
13;163401.4695481566;163401.4695481566
14;163215.33206481393;163215.33206481393
15;159607.3685203969;159607.3685203969
16;161050.97950839184;161050.97950839184
17;153188.75876839887;153188.75876839887
18;150422.27592488477;150422.27592488477
19;149924.33663961262;149924.33663961262
20;154311.02060101938;154311.02060101938
21;151549.48915425545;151549.48915425545
22;141501.40344724408;141501.40344724408
23;140645.9787711222;140645.9787711222
24;148815.40603497435;148815.40603497435
25;148209.20649135715;148209.20649135715
26;149503.2192615246;149503.2192615246
27;142404.31024286366;142404.31024286366
28;145730.08715327375;145730.08715327375
29;146591.84735274976;146591.84735274976
30;146920.33869250535;146920.33869250535
31;145420.25602458016;145420.25602458016
32;145769.53439524362;145769.53439524362
33;141527.6625178394;141527.6625178394
34;140491.42817365314;140491.42817365314
35;141138.4718437447;141138.4718437447
36;141940.54248622208;141940.54248622208
37;147394.1376434172;147394.1376434172
38;145857.20994083857;145857.20994083857
39;145667.76465451732;145667.76465451732
40;152567.0199398107;152567.0199398107
41;151683.93785975585;151683.93785975585
42;159157.5179582701;159157.5179582701
43;150853.55120758744;150853.55120758744
44;146313.88761592165;146313.88761592165
45;143979.1559243426;143979.1559243426
46;157109.02278774543;157109.02278774543
47;158500.05999544196;158500.05999544196
48;168003.7018445726;168003.7018445726
49;164942.00203783863;164942.00203783863
50;162134.23248867074;162134.23248867074
51;167055.7796832689;167055.7796832689
52;169387.97489805563;169387.97489805563
53;160113.5225376768;160113.5225376768
54;160019.8313958359;160019.8313958359
55;158940.3981859067;158940.3981859067
56;162044.51009841106;162044.51009841106
57;180742.99000177122;180742.99000177122
58;172362.4384121761;172362.4384121761
59;172078.81256528504;172078.81256528504
60;175634.93306910736;175634.93306910736
61;181559.63064553775;181559.63064553775
62;163479.67098326152;163479.67098326152
63;162685.11078917203;162685.11078917203
64;162091.06567964226;162091.06567964226
65;160691.13339296752;160691.13339296752
66;158983.13381977243;158983.13381977243
67;146193.43814041835;146193.43814041835
68;152717.05290021643;152717.05290021643
69;151599.55190424103;151599.55190424103
70;155809.72470262565;155809.72470262565
71;148055.31596276438;148055.31596276438
72;149011.9947416478;149011.9947416478
73;148406.49982078097;148406.49982078097
74;145555.87456975906;145555.87456975906
75;140957.27798662594;140957.27798662594
76;145001.70048215156;145001.70048215156
77;143522.05208787997;143522.05208787997
78;141746.77589188254;141746.77589188254
79;142610.02235369783;142610.02235369783
80;142185.23135489304;142185.23135489304
81;142649.48869751298;142649.48869751298
82;139907.04983086867;139907.04983086867
83;141574.08039033558;141574.08039033558
84;141257.68719107003;141257.68719107003
85;132274.27028819724;132274.27028819724
86;138879.91806438737;138879.91806438737
87;138598.53371624582;138598.53371624582
88;136922.84155823692;136922.84155823692
89;135206.22470973924;135206.22470973924
90;136971.51395173962;136971.51395173962
91;137765.02640195604;137765.02640195604
92;136463.6183081649;136463.6183081649
93;136437.4424431092;136437.4424431092
94;134672.15320110886;134672.15320110886
95;138495.50870343592;138495.50870343592
96;134672.15320110886;134672.15320110886
97;140374.73781535754;140374.73781535754
98;140165.43651936468;140165.43651936468
99;131839.42962594918;131839.42962594918
100;132725.873937902;132725.873937902
101;131774.2411848166;131774.2411848166
102;132046.00453336103;132046.00453336103
103;130390.15891830306;130390.15891830306
104;133078.9320552947;133078.9320552947
105;132562.3540785415;132562.3540785415
106;133073.6871636763;133073.6871636763
107;128919.20533775334;128919.20533775334
108;125225.71842379565;125225.71842379565
109;123113.95182322644;123113.95182322644
110;126183.80847643445;126183.80847643445
111;123915.55568219394;123915.55568219394
112;120668.1191974728;120668.1191974728
113;121691.41370243358;121691.41370243358
114;127757.87318799547;127757.87318799547
115;123318.4048510769;123318.4048510769
116;128280.1508211037;128280.1508211037
117;133742.10245266266;133742.10245266266
118;135436.98402225767;135436.98402225767
119;135005.53799664578;135005.53799664578
120;134702.32604879682;134702.32604879682
121;133776.11641664838;133776.11641664838
122;131836.12454897564;131836.12454897564
123;132957.9992393236;132957.9992393236
124;135866.20881384204;135866.20881384204
125;134961.64473856016;134961.64473856016
126;129695.03545361098;129695.03545361098
127;130458.16919027665;130458.16919027665
128;139124.21824686162;139124.21824686162
129;139339.71840191472;139339.71840191472
130;141223.90222719024;141223.90222719024
131;145557.57965039715;145557.57965039715
132;147760.3607332921;147760.3607332921
133;147546.74343328166;147546.74343328166
134;142628.74165594208;142628.74165594208
135;137985.42800673252;137985.42800673252
136;137581.6234580053;137581.6234580053
137;136318.56518442978;136318.56518442978
138;147785.88148727448;147785.88148727448
139;151838.77076084277;151838.77076084277
140;153465.8870645064;153465.8870645064
141;153894.12997487633;153894.12997487633
142;143493.91924496563;143493.91924496563
143;143013.17464544513;143013.17464544513
144;142774.31395881466;142774.31395881466
145;142421.7730692674;142421.7730692674
146;145710.99773440885;145710.99773440885
147;144182.95919818478;144182.95919818478
148;143923.84168452557;143923.84168452557
149;132739.55777829423;132739.55777829423
150;132477.54762796697;132477.54762796697
151;131941.26293442133;131941.26293442133
152;128780.39638147134;128780.39638147134
153;123363.50926927189;123363.50926927189
154;123348.80979650226;123348.80979650226
155;121824.61147117717;121824.61147117717
156;127944.45331076853;127944.45331076853
157;126763.81044946771;126763.81044946771
158;129736.23666869369;129736.23666869369
159;129428.17511608437;129428.17511608437
160;128622.48593952361;128622.48593952361
161;124605.84147482106;124605.84147482106
162;141251.96656608614;141251.96656608614
163;139370.08357166397;139370.08357166397
164;140778.9031381891;140778.9031381891
165;145272.63024260232;145272.63024260232
166;143688.63508376572;143688.63508376572
167;144132.9584145775;144132.9584145775
168;143019.2829249278;143019.2829249278
169;140999.1246423989;140999.1246423989
170;157547.15890144004;157547.15890144004
171;143837.87640580247;143837.87640580247
172;142578.51577055597;142578.51577055597
173;142412.77677631826;142412.77677631826
174;143865.63406704323;143865.63406704323
175;150383.31979959196;150383.31979959196
176;145095.71612147285;145095.71612147285
177;144669.9930634936;144669.9930634936
178;143184.20094914833;143184.20094914833
179;142869.30288394075;142869.30288394075
180;146702.1342635859;146702.1342635859
181;156841.62201019962;156841.62201019962
182;163213.57836062176;163213.57836062176
183;163058.77740094648;163058.77740094648
184;162915.37056120025;162915.37056120025
185;162785.89630279614;162785.89630279614
186;158963.9803589102;158963.9803589102
187;157032.56504552427;157032.56504552427
188;153920.92722762143;153920.92722762143
189;155834.7954910391;155834.7954910391
190;154079.78926670135;154079.78926670135
191;166173.84860392482;166173.84860392482
192;166151.67924912003;166151.67924912003
193;165900.59537834735;165900.59537834735
194;144560.68820993794;144560.68820993794
195;143498.56854654755;143498.56854654755
196;139359.19403839402;139359.19403839402
