;MELHOR GLOBAL;MELHOR LOCAL
0;29360.133427971858;29360.133427971858
1;30077.03667258761;30077.03667258761
2;29924.220784688805;29924.220784688805
3;29938.30386300451;29938.30386300451
4;30074.32738040806;30074.32738040806
5;29120.05420809805;29120.05420809805
6;29326.2005902824;29326.2005902824
7;29732.222934050536;29732.222934050536
8;29952.135011686645;29952.135011686645
9;29916.88562803976;29916.88562803976
10;29209.147802680545;29209.147802680545
11;29115.689248854593;29115.689248854593
12;29249.735870988054;29249.735870988054
13;27828.46363046092;27828.46363046092
14;27802.65703929789;27802.65703929789
15;27259.385521553642;27259.385521553642
16;28825.301865548874;28825.301865548874
17;28996.3383471854;28996.3383471854
18;29992.98165528338;29992.98165528338
19;30496.48490396149;30496.48490396149
20;29595.31222929656;29595.31222929656
21;28107.403541410473;28107.403541410473
22;28036.21324684583;28036.21324684583
23;27896.826297323856;27896.826297323856
24;27788.76838574595;27788.76838574595
25;28073.683589363372;28073.683589363372
26;28211.738952034142;28211.738952034142
27;28327.955744984345;28327.955744984345
28;28298.35159371285;28298.35159371285
29;28622.093925510784;28622.093925510784
30;28416.720936988626;28416.720936988626
31;27949.998889459217;27949.998889459217
32;27695.360117866912;27695.360117866912
33;27708.661976639523;27708.661976639523
34;27661.975029826095;27661.975029826095
35;27598.569885698627;27598.569885698627
36;27059.180347812344;27059.180347812344
37;27229.261106155398;27229.261106155398
38;27335.75109902904;27335.75109902904
39;26845.385341031593;26845.385341031593
40;26445.611195644782;26445.611195644782
41;25013.502964309486;25013.502964309486
42;27008.732852772373;27008.732852772373
43;26629.820626834095;26629.820626834095
44;26091.91024825019;26091.91024825019
45;26072.168307418488;26072.168307418488
46;26178.713211205235;26178.713211205235
47;26561.510389860883;26561.510389860883
48;26149.649472999336;26149.649472999336
49;26556.177078486307;26556.177078486307
50;27067.90253800298;27067.90253800298
51;28782.085830742082;28782.085830742082
52;28884.52101240153;28884.52101240153
53;28764.448908705952;28764.448908705952
54;27756.50929606293;27756.50929606293
55;28960.283980564564;28960.283980564564
56;27991.7852495061;27991.7852495061
57;27662.192239473756;27662.192239473756
58;27728.40197352603;27728.40197352603
59;28256.616937035484;28256.616937035484
60;28364.519932830903;28364.519932830903
61;28363.848561448205;28363.848561448205
62;27530.411757657857;27530.411757657857
63;28578.40888195739;28578.40888195739
64;28391.519136121507;28391.519136121507
65;28362.154275036697;28362.154275036697
66;28015.81364668292;28015.81364668292
67;26978.375472312913;26978.375472312913
68;26919.630789931107;26919.630789931107
69;27390.64419475067;27390.64419475067
70;27188.852388527983;27188.852388527983
71;27493.26283920825;27493.26283920825
72;29820.35207679773;29820.35207679773
73;29755.301258963016;29755.301258963016
74;30073.55632787122;30073.55632787122
75;29928.942868218706;29928.942868218706
76;29310.49548710564;29310.49548710564
77;29371.180525497173;29371.180525497173
78;28909.703200885844;28909.703200885844
79;29029.282769140053;29029.282769140053
80;28552.752876400365;28552.752876400365
81;28322.67014018504;28322.67014018504
82;27680.882831541257;27680.882831541257
83;27759.849696795918;27759.849696795918
84;27633.022111224724;27633.022111224724
85;27563.717943468586;27563.717943468586
86;28466.80054946861;28466.80054946861
