;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
0;507176.58207449183;507176.58207449183;75-76-60-4-3-14-61-30-23-50-51-43-74-36-41-44-63-33-56-39-5-35-52-70-34-28-62-18-11-40-66-59-31-29-26-46-22-8-58-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-15-55-2-71-65-19-6-1-24-13-32-17-53-72-47-73-38-54-45-10-21-20
1;510885.9706579988;510885.9706579988;75-76-60-4-3-14-61-30-23-50-51-43-74-36-41-44-63-33-56-39-5-35-52-8-34-28-62-18-11-40-66-59-31-29-26-46-22-70-58-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-15-55-2-71-65-19-6-1-24-13-32-17-53-72-47-73-38-54-45-10-21-20
2;510708.3536878751;510708.3536878751;75-76-60-4-3-14-61-44-23-50-51-43-74-36-41-30-63-33-56-39-5-35-52-8-34-28-62-18-11-40-66-59-31-29-26-46-22-70-58-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-15-55-2-71-65-19-6-1-24-13-32-17-53-72-47-73-38-54-45-10-21-20
3;511525.7699207774;511525.7699207774;75-76-60-4-3-14-61-44-23-50-51-43-74-36-41-30-63-33-56-39-5-35-52-8-34-28-62-18-11-40-66-59-31-29-26-46-22-70-58-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-15-55-2-71-65-54-6-1-24-13-32-17-53-72-47-73-38-19-45-10-21-20
4;510689.34324296494;510689.34324296494;75-76-60-4-3-14-61-44-23-50-51-43-74-36-41-30-63-33-56-39-5-35-52-8-34-28-62-18-11-40-66-59-31-29-26-46-22-70-55-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-15-58-2-71-65-54-6-1-24-13-32-17-53-72-47-73-38-19-45-10-21-20
5;511106.5949509988;511106.5949509988;75-76-60-4-3-14-61-44-23-50-51-43-8-36-41-30-63-33-56-39-5-35-52-74-34-28-62-18-11-40-66-59-31-29-26-46-22-70-55-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-15-58-2-71-65-54-6-1-24-13-32-17-53-72-47-73-38-19-45-10-21-20
6;503827.272662525;503827.272662525;75-76-60-4-3-14-61-44-23-50-51-43-8-36-41-30-63-33-56-39-38-35-52-74-34-28-62-18-11-40-66-59-31-29-26-46-22-70-55-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-15-58-2-71-65-54-6-1-24-13-32-17-53-72-47-73-5-19-45-10-21-20
7;507663.98605974665;507663.98605974665;75-76-60-4-3-14-61-44-23-50-51-43-8-36-41-30-63-33-56-39-38-35-70-74-34-28-62-18-11-40-66-59-31-29-26-46-22-52-55-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-15-58-2-71-65-54-6-1-24-13-32-17-53-72-47-73-5-19-45-10-21-20
8;494065.53463863104;494065.53463863104;75-76-60-4-3-14-61-44-23-50-51-43-8-36-41-30-63-33-56-39-38-35-70-74-34-28-62-18-11-40-66-59-31-29-26-46-22-52-15-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-55-58-2-71-65-54-6-1-24-13-32-17-53-72-47-73-5-19-45-10-21-20
9;491291.5775132154;491291.5775132154;75-76-60-4-3-14-61-44-23-50-51-43-8-36-41-30-63-33-56-39-38-35-70-74-34-28-62-18-11-40-66-59-58-29-26-46-22-52-15-16-27-25-9-37-7-69-48-49-68-67-57-64-12-42-55-31-2-71-65-54-6-1-24-13-32-17-53-72-47-73-5-19-45-10-21-20
10;487429.89411752316;487429.89411752316;75-76-60-4-3-14-61-44-23-12-51-43-8-36-41-30-63-33-56-39-38-35-70-74-34-28-62-18-11-40-66-59-58-29-26-46-22-52-15-16-27-25-9-37-7-69-48-49-68-67-57-64-50-42-55-31-2-71-65-54-6-1-24-13-32-17-53-72-47-73-5-19-45-10-21-20
11;489646.1038422786;489646.1038422786;75-76-60-4-3-14-61-44-23-12-51-43-8-39-41-30-63-33-56-36-38-35-70-74-34-28-62-18-11-40-66-59-58-29-26-46-22-52-15-16-27-25-9-37-7-69-48-49-68-67-57-64-50-42-55-31-2-71-65-54-6-1-24-13-32-17-53-72-47-73-5-19-45-10-21-20
12;488415.1510351001;488415.1510351001;75-76-60-4-3-14-61-44-23-12-51-43-8-39-41-30-63-33-56-36-38-35-70-74-34-28-62-18-11-40-66-59-58-29-26-46-22-52-15-16-27-25-9-37-7-69-47-49-68-67-57-64-50-42-55-31-2-71-65-54-6-1-24-13-32-17-53-72-48-73-5-19-45-10-21-20
13;475822.8325081592;475822.8325081592;75-76-60-4-3-14-61-44-23-12-51-43-8-39-41-30-63-33-56-36-38-35-70-74-34-28-62-18-11-40-66-59-58-29-26-46-22-13-15-16-27-25-9-37-7-69-47-49-68-67-57-64-50-42-55-31-2-71-65-54-6-1-24-52-32-17-53-72-48-73-5-19-45-10-21-20
14;467240.59481377347;467240.59481377347;75-76-60-4-3-14-61-44-23-12-51-43-8-39-41-30-63-33-56-36-38-35-70-74-34-28-62-18-11-40-66-59-58-29-26-46-22-13-15-16-27-25-9-37-7-69-47-48-68-67-57-64-50-42-55-31-2-71-65-54-6-1-24-52-32-17-53-72-49-73-5-19-45-10-21-20
15;470014.5519391891;470014.5519391891;75-76-60-4-3-14-61-44-23-12-51-43-8-39-41-30-63-33-56-36-38-35-70-74-34-28-62-18-11-40-66-59-31-29-26-46-22-13-15-16-27-25-9-37-7-69-47-48-68-67-57-64-50-42-55-58-2-71-65-54-6-1-24-52-32-17-53-72-49-73-5-19-45-10-21-20
16;461271.6372198455;461271.6372198455;75-76-60-4-3-14-61-44-23-12-51-43-8-39-41-40-63-33-56-36-38-35-70-74-34-28-62-18-11-30-66-59-31-29-26-46-22-13-15-16-27-25-9-37-7-69-47-48-68-67-57-64-50-42-55-58-2-71-65-54-6-1-24-52-32-17-53-72-49-73-5-19-45-10-21-20
17;453396.3589953002;453396.3589953002;75-76-60-4-3-14-61-44-23-12-51-43-8-39-41-40-63-33-56-36-38-35-70-74-34-28-62-18-11-30-66-59-31-29-26-46-22-13-15-16-27-25-21-37-7-69-47-48-68-67-57-64-50-42-55-58-2-71-65-54-6-1-24-52-32-17-53-72-49-73-5-19-45-10-9-20
18;453538.62180588424;453538.62180588424;75-76-60-4-3-14-61-44-23-12-51-43-8-39-41-40-63-33-66-36-38-35-70-74-34-28-62-18-11-30-56-59-31-29-26-46-22-13-15-16-27-25-21-37-7-69-47-48-68-67-57-64-50-42-55-58-2-71-65-54-6-1-24-52-32-17-53-72-49-73-5-19-45-10-9-20
19;458824.22897092707;458824.22897092707;75-76-60-4-3-14-61-44-23-12-51-65-8-39-41-40-63-33-66-36-38-35-70-74-34-28-62-18-11-30-56-59-31-29-26-46-22-13-15-16-27-25-21-37-7-69-47-48-68-67-57-64-50-42-55-58-2-71-43-54-6-1-24-52-32-17-53-72-49-73-5-19-45-10-9-20
20;457239.10123056493;457239.10123056493;75-76-60-4-3-14-61-44-23-12-51-65-8-39-41-40-63-33-66-36-38-35-70-74-34-28-62-18-11-30-56-59-31-29-26-46-22-13-15-16-27-25-2-37-7-69-47-48-68-67-57-64-50-42-55-58-21-71-43-54-6-1-24-52-32-17-53-72-49-73-5-19-45-10-9-20
21;447611.30182907166;447611.30182907166;75-76-60-4-3-14-61-44-23-27-51-65-8-39-41-40-63-33-66-36-38-35-70-74-34-28-62-18-11-30-56-59-31-29-26-46-22-13-15-16-12-25-2-37-7-69-47-48-68-67-57-64-50-42-55-58-21-71-43-54-6-1-24-52-32-17-53-72-49-73-5-19-45-10-9-20
22;447889.52566134144;447889.52566134144;75-76-60-4-3-14-61-44-23-27-51-65-8-39-41-40-63-33-66-36-38-35-70-74-34-28-62-18-11-30-56-59-31-29-26-19-22-13-15-16-12-25-2-37-7-69-47-48-68-67-57-64-50-42-55-58-21-71-43-54-6-1-24-52-32-17-53-72-49-73-5-46-45-10-9-20
23;454394.60759231966;454394.60759231966;75-76-60-4-3-14-61-44-23-27-51-65-8-39-41-40-63-33-66-36-38-35-70-74-34-28-62-18-11-30-56-59-31-29-26-19-22-13-15-16-12-25-2-37-7-69-47-48-68-67-57-64-50-42-55-6-21-71-43-54-58-1-24-52-32-17-53-72-49-73-5-46-45-10-9-20
24;452736.6375065573;452736.6375065573;75-76-60-4-3-14-61-44-23-27-51-65-8-39-41-40-63-33-66-36-38-35-70-74-32-28-62-18-11-30-56-59-31-29-26-19-22-13-15-16-12-25-2-37-7-69-47-48-68-67-57-64-50-42-55-6-21-71-43-54-58-1-24-52-34-17-53-72-49-73-5-46-45-10-9-20
25;449940.05905989395;449940.05905989395;75-76-60-4-3-14-61-44-23-27-51-65-8-39-41-40-63-33-66-36-38-35-70-74-32-28-62-18-11-30-56-59-37-29-26-19-22-13-15-16-12-25-2-31-7-69-47-48-68-67-57-64-50-42-55-6-21-71-43-54-58-1-24-52-34-17-53-72-49-73-5-46-45-10-9-20
26;443092.48902344203;443092.48902344203;75-76-60-4-3-14-61-44-23-27-51-65-8-39-41-40-63-33-66-36-38-35-70-21-32-28-62-18-11-30-56-59-37-29-26-19-22-13-15-16-12-25-2-31-7-69-47-48-68-67-57-64-50-42-55-6-74-71-43-54-58-1-24-52-34-17-53-72-49-73-5-46-45-10-9-20
